
INTEGERS

1

  Quick Sort      | mixed_int            | size= 500,000 |  1155.8049 ms  (avg of 3 runs)
  Heap Sort       | flat_int             | size= 500,000 |   895.3390 ms  (avg of 3 runs)
  Merge Sort      | flat_int             | size= 500,000 |   974.1920 ms  (avg of 3 runs)
  [RecursionError] Quick Sort on flat_int, size=500000
  Quick Sort      | flat_int             | size= 500,000 | RECURSION ERROR
  Heap Sort       | random_int           | size=1,000,000 |  3424.3914 ms  (avg of 3 runs)
  Merge Sort      | random_int           | size=1,000,000 |  2489.7966 ms  (avg of 3 runs)
  Quick Sort      | random_int           | size=1,000,000 |  3566.3811 ms  (avg of 3 runs)
  Heap Sort       | sorted_int           | size=1,000,000 |  2574.5542 ms  (avg of 3 runs)
  Merge Sort      | sorted_int           | size=1,000,000 |  2822.1764 ms  (avg of 3 runs)
  [RecursionError] Quick Sort on sorted_int, size=1000000
  Quick Sort      | sorted_int           | size=1,000,000 | RECURSION ERROR
  Heap Sort       | reverse_sorted_int   | size=1,000,000 |  2763.4906 ms  (avg of 3 runs)
  Merge Sort      | reverse_sorted_int   | size=1,000,000 |  2828.9074 ms  (avg of 3 runs)
  [RecursionError] Quick Sort on reverse_sorted_int, size=1000000
  Quick Sort      | reverse_sorted_int   | size=1,000,000 | RECURSION ERROR
  Heap Sort       | almost_sorted_int    | size=1,000,000 |  5794.2002 ms  (avg of 3 runs)
  Merge Sort      | almost_sorted_int    | size=1,000,000 |  5913.3704 ms  (avg of 3 runs)
  Quick Sort      | almost_sorted_int    | size=1,000,000 |  8226.9647 ms  (avg of 3 runs)
  Heap Sort       | mixed_int            | size=1,000,000 |  3479.1149 ms  (avg of 3 runs)
  Merge Sort      | mixed_int            | size=1,000,000 |  2762.9978 ms  (avg of 3 runs)
  Quick Sort      | mixed_int            | size=1,000,000 |  3934.7911 ms  (avg of 3 runs)
  Heap Sort       | flat_int             | size=1,000,000 |  1566.7482 ms  (avg of 3 runs)
  Merge Sort      | flat_int             | size=1,000,000 |  2066.3245 ms  (avg of 3 runs)
  [RecursionError] Quick Sort on flat_int, size=1000000
  Quick Sort      | flat_int             | size=1,000,000 | RECURSION ERROR
