
INTEGERS

1

  Bubble Sort     | reverse_sorted_int   | size=  10,000 |  3127.7596 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=  10,000 |  2212.8937 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=  10,000 |    15.3342 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=  10,000 |  1184.9884 ms  (avg of 10 runs)
  Merge Sort      | reverse_sorted_int   | size=  10,000 |    13.7727 ms  (avg of 10 runs)
  Bubble Sort     | almost_sorted_int    | size=  10,000 |  1716.8357 ms  (avg of 10 runs)
  Insertion Sort  | almost_sorted_int    | size=  10,000 |   122.5707 ms  (avg of 10 runs)
  Heap Sort       | almost_sorted_int    | size=  10,000 |    17.1378 ms  (avg of 10 runs)
  Selection Sort  | almost_sorted_int    | size=  10,000 |  1028.3769 ms  (avg of 10 runs)
  Merge Sort      | almost_sorted_int    | size=  10,000 |    14.7145 ms  (avg of 10 runs)
  Bubble Sort     | mixed_int            | size=  10,000 |  2323.5262 ms  (avg of 10 runs)
  Insertion Sort  | mixed_int            | size=  10,000 |   844.5604 ms  (avg of 10 runs)
  Heap Sort       | mixed_int            | size=  10,000 |    16.7244 ms  (avg of 10 runs)
  Selection Sort  | mixed_int            | size=  10,000 |  1011.7438 ms  (avg of 10 runs)
  Merge Sort      | mixed_int            | size=  10,000 |    14.7612 ms  (avg of 10 runs)
  Bubble Sort     | flat_int             | size=  10,000 |  2082.2259 ms  (avg of 10 runs)
  Insertion Sort  | flat_int             | size=  10,000 |   805.1121 ms  (avg of 10 runs)
  Heap Sort       | flat_int             | size=  10,000 |    12.3263 ms  (avg of 10 runs)
  Selection Sort  | flat_int             | size=  10,000 |  1182.4902 ms  (avg of 10 runs)
  Merge Sort      | flat_int             | size=  10,000 |    14.7611 ms  (avg of 10 runs)
  Bubble Sort     | random_int           | size=  50,000 | 75529.8006 ms  (avg of 10 runs)
  Insertion Sort  | random_int           | size=  50,000 | 33463.4463 ms  (avg of 10 runs)
  Heap Sort       | random_int           | size=  50,000 |    99.8702 ms  (avg of 10 runs)
  Selection Sort  | random_int           | size=  50,000 | 25796.7074 ms  (avg of 10 runs)
  Merge Sort      | random_int           | size=  50,000 |    91.2099 ms  (avg of 10 runs)
  Bubble Sort     | sorted_int           | size=  50,000 |     1.5816 ms  (avg of 10 runs)
  Insertion Sort  | sorted_int           | size=  50,000 |     2.8193 ms  (avg of 10 runs)
  Heap Sort       | sorted_int           | size=  50,000 |   102.2988 ms  (avg of 10 runs)
  Selection Sort  | sorted_int           | size=  50,000 | 28678.5391 ms  (avg of 10 runs)
  Merge Sort      | sorted_int           | size=  50,000 |    79.5408 ms  (avg of 10 runs)
  Bubble Sort     | reverse_sorted_int   | size=  50,000 | 83048.7006 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=  50,000 | 79928.3307 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=  50,000 |   100.2773 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=  50,000 | 31078.2906 ms  (avg of 10 runs)
  Merge Sort      | reverse_sorted_int   | size=  50,000 |    80.2829 ms  (avg of 10 runs)
  Bubble Sort     | almost_sorted_int    | size=  50,000 | 44537.8820 ms  (avg of 10 runs)
  Insertion Sort  | almost_sorted_int    | size=  50,000 |  3771.8135 ms  (avg of 10 runs)
  Heap Sort       | almost_sorted_int    | size=  50,000 |   102.2319 ms  (avg of 10 runs)
  Selection Sort  | almost_sorted_int    | size=  50,000 | 27311.9558 ms  (avg of 10 runs)
  Merge Sort      | almost_sorted_int    | size=  50,000 |    86.0974 ms  (avg of 10 runs)
  Bubble Sort     | mixed_int            | size=  50,000 | 60070.0825 ms  (avg of 10 runs)
  Insertion Sort  | mixed_int            | size=  50,000 | 21624.4068 ms  (avg of 10 runs)
  Heap Sort       | mixed_int            | size=  50,000 |   101.0310 ms  (avg of 10 runs)
  Selection Sort  | mixed_int            | size=  50,000 | 26242.1647 ms  (avg of 10 runs)
  Merge Sort      | mixed_int            | size=  50,000 |    86.8168 ms  (avg of 10 runs)
  Bubble Sort     | flat_int             | size=  50,000 | 92793.3215 ms  (avg of 10 runs)
  Insertion Sort  | flat_int             | size=  50,000 | 19912.2682 ms  (avg of 10 runs)
  Heap Sort       | flat_int             | size=  50,000 |    74.8501 ms  (avg of 10 runs)
  Selection Sort  | flat_int             | size=  50,000 | 27446.7417 ms  (avg of 10 runs)
  Merge Sort      | flat_int             | size=  50,000 |    82.7953 ms  (avg of 10 runs)

2

  Bubble Sort     | random_int           | size=   1,000 |    23.7136 ms  (avg of 10 runs)
  Insertion Sort  | random_int           | size=   1,000 |    11.1604 ms  (avg of 10 runs)
  Heap Sort       | random_int           | size=   1,000 |     1.2197 ms  (avg of 10 runs)
  Selection Sort  | random_int           | size=   1,000 |    10.7429 ms  (avg of 10 runs)
  Merge Sort      | random_int           | size=   1,000 |     1.2631 ms  (avg of 10 runs)
  Quick Sort      | random_int           | size=   1,000 |     0.5421 ms  (avg of 10 runs)
  Bubble Sort     | sorted_int           | size=   1,000 |     0.0278 ms  (avg of 10 runs)
  Insertion Sort  | sorted_int           | size=   1,000 |     0.0502 ms  (avg of 10 runs)
  Heap Sort       | sorted_int           | size=   1,000 |     1.2543 ms  (avg of 10 runs)
  Selection Sort  | sorted_int           | size=   1,000 |    10.3557 ms  (avg of 10 runs)
  Merge Sort      | sorted_int           | size=   1,000 |     1.0959 ms  (avg of 10 runs)
  Quick Sort      | sorted_int           | size=   1,000 |    21.6853 ms  (avg of 10 runs)
  Bubble Sort     | reverse_sorted_int   | size=   1,000 |    28.2385 ms  (avg of 10 runs)
  Insertion Sort  | reverse_sorted_int   | size=   1,000 |    20.5930 ms  (avg of 10 runs)
  Heap Sort       | reverse_sorted_int   | size=   1,000 |     1.0954 ms  (avg of 10 runs)
  Selection Sort  | reverse_sorted_int   | size=   1,000 |    11.1425 ms  (avg of 10 runs)
  Merge Sort      | reverse_sorted_int   | size=   1,000 |     1.1190 ms  (avg of 10 runs)
  Quick Sort      | reverse_sorted_int   | size=   1,000 |    15.0125 ms  (avg of 10 runs)
  Bubble Sort     | almost_sorted_int    | size=   1,000 |    14.1395 ms  (avg of 10 runs)
  Insertion Sort  | almost_sorted_int    | size=   1,000 |     1.4902 ms  (avg of 10 runs)
  Heap Sort       | almost_sorted_int    | size=   1,000 |     1.2804 ms  (avg of 10 runs)
  Selection Sort  | almost_sorted_int    | size=   1,000 |    10.4979 ms  (avg of 10 runs)
  Merge Sort      | almost_sorted_int    | size=   1,000 |     1.2285 ms  (avg of 10 runs)
  Quick Sort      | almost_sorted_int    | size=   1,000 |     1.1002 ms  (avg of 10 runs)
  Bubble Sort     | mixed_int            | size=   1,000 |    21.1374 ms  (avg of 10 runs)
  Insertion Sort  | mixed_int            | size=   1,000 |     8.2042 ms  (avg of 10 runs)
