large size lists

algorithm,structure,size,runs,avg_time_s,avg_time_ms
Insertion Sort,random_float,50,100000,2.2859e-05,0.022859
Heap Sort,random_float,50,100000,2.9059e-05,0.029059
Selection Sort,random_float,50,100000,2.7565e-05,0.027565
Merge Sort,random_float,50,100000,3.9216e-05,0.039216
Quick Sort,random_float,50,100000,1.3775e-05,0.013775
Bubble Sort,sorted_float,50,100000,1.305e-06,0.001305
Insertion Sort,sorted_float,50,100000,2.216e-06,0.002216
Heap Sort,sorted_float,50,100000,3.214e-05,0.03214
Selection Sort,sorted_float,50,100000,2.5576e-05,0.025576
Merge Sort,sorted_float,50,100000,3.697e-05,0.03697
Quick Sort,sorted_float,50,100000,5.4426e-05,0.054426
Bubble Sort,reverse_float,50,100000,6.3597e-05,0.063597
Insertion Sort,reverse_float,50,100000,4.7978e-05,0.047978
Heap Sort,reverse_float,50,100000,2.5479e-05,0.025479
Selection Sort,reverse_float,50,100000,2.8835e-05,0.028835
Merge Sort,reverse_float,50,100000,3.6773e-05,0.036773
Quick Sort,reverse_float,50,100000,4.1943e-05,0.041943
Bubble Sort,random_float,100,100000,0.000187596,0.187596
Insertion Sort,random_float,100,100000,9.2216e-05,0.092216
Heap Sort,random_float,100,100000,6.9999e-05,0.069999
Selection Sort,random_float,100,100000,9.8933e-05,0.098933
Merge Sort,random_float,100,100000,8.6435e-05,0.086435
Quick Sort,random_float,100,100000,3.3048e-05,0.033048
Bubble Sort,sorted_float,100,100000,2.473e-06,0.002473
Insertion Sort,sorted_float,100,100000,4.245e-06,0.004245
Heap Sort,sorted_float,100,100000,7.4462e-05,0.074462
Selection Sort,sorted_float,100,100000,9.3642e-05,0.093642
Merge Sort,sorted_float,100,100000,7.9567e-05,0.079567
Quick Sort,sorted_float,100,100000,0.000199353,0.199353
Bubble Sort,reverse_float,100,100000,0.000245729,0.245729
Insertion Sort,reverse_float,100,100000,0.000189431,0.189431
Heap Sort,reverse_float,100,100000,6.1639e-05,0.061639
