
INTEGERS

1

  Bubble Sort     | random_int           | size=      50 |     0.0496 ms  (avg of 100000 runs)
  Insertion Sort  | random_int           | size=      50 |     0.0268 ms  (avg of 100000 runs)
  Heap Sort       | random_int           | size=      50 |     0.0309 ms  (avg of 100000 runs)
  Selection Sort  | random_int           | size=      50 |     0.0261 ms  (avg of 100000 runs)
  Merge Sort      | random_int           | size=      50 |     0.0399 ms  (avg of 100000 runs)
  Quick Sort      | random_int           | size=      50 |     0.0150 ms  (avg of 100000 runs)
  Bubble Sort     | sorted_int           | size=      50 |     0.0013 ms  (avg of 100000 runs)
  Insertion Sort  | sorted_int           | size=      50 |     0.0023 ms  (avg of 100000 runs)
  Heap Sort       | sorted_int           | size=      50 |     0.0330 ms  (avg of 100000 runs)
  Selection Sort  | sorted_int           | size=      50 |     0.0249 ms  (avg of 100000 runs)
  Merge Sort      | sorted_int           | size=      50 |     0.0371 ms  (avg of 100000 runs)
  Quick Sort      | sorted_int           | size=      50 |     0.0556 ms  (avg of 100000 runs)
  Bubble Sort     | reverse_sorted_int   | size=      50 |     0.0632 ms  (avg of 100000 runs)
  Insertion Sort  | reverse_sorted_int   | size=      50 |     0.0483 ms  (avg of 100000 runs)
  Heap Sort       | reverse_sorted_int   | size=      50 |     0.0264 ms  (avg of 100000 runs)
  Selection Sort  | reverse_sorted_int   | size=      50 |     0.0272 ms  (avg of 100000 runs)
  Merge Sort      | reverse_sorted_int   | size=      50 |     0.0370 ms  (avg of 100000 runs)
  Quick Sort      | reverse_sorted_int   | size=      50 |     0.0414 ms  (avg of 100000 runs)
  Bubble Sort     | almost_sorted_int    | size=      50 |     0.0281 ms  (avg of 100000 runs)
  Insertion Sort  | almost_sorted_int    | size=      50 |     0.0047 ms  (avg of 100000 runs)
  Heap Sort       | almost_sorted_int    | size=      50 |     0.0327 ms  (avg of 100000 runs)
  Selection Sort  | almost_sorted_int    | size=      50 |     0.0251 ms  (avg of 100000 runs)
  Merge Sort      | almost_sorted_int    | size=      50 |     0.0380 ms  (avg of 100000 runs)
  Quick Sort      | almost_sorted_int    | size=      50 |     0.0379 ms  (avg of 100000 runs)
  Bubble Sort     | mixed_int            | size=      50 |     0.0393 ms  (avg of 100000 runs)
  Insertion Sort  | mixed_int            | size=      50 |     0.0159 ms  (avg of 100000 runs)
  Heap Sort       | mixed_int            | size=      50 |     0.0309 ms  (avg of 100000 runs)
  Selection Sort  | mixed_int            | size=      50 |     0.0263 ms  (avg of 100000 runs)
  Merge Sort      | mixed_int            | size=      50 |     0.0391 ms  (avg of 100000 runs)
  Quick Sort      | mixed_int            | size=      50 |     0.0149 ms  (avg of 100000 runs)
  Bubble Sort     | flat_int             | size=      50 |     0.0414 ms  (avg of 100000 runs)
  Insertion Sort  | flat_int             | size=      50 |     0.0201 ms  (avg of 100000 runs)
  Heap Sort       | flat_int             | size=      50 |     0.0218 ms  (avg of 100000 runs)
  Selection Sort  | flat_int             | size=      50 |     0.0284 ms  (avg of 100000 runs)
  Merge Sort      | flat_int             | size=      50 |     0.0393 ms  (avg of 100000 runs)
  Quick Sort      | flat_int             | size=      50 |     0.0269 ms  (avg of 100000 runs)
  Bubble Sort     | random_int           | size=     100 |     0.2018 ms  (avg of 100000 runs)
  Insertion Sort  | random_int           | size=     100 |     0.1124 ms  (avg of 100000 runs)
  Heap Sort       | random_int           | size=     100 |     0.0728 ms  (avg of 100000 runs)
  Selection Sort  | random_int           | size=     100 |     0.0955 ms  (avg of 100000 runs)
  Merge Sort      | random_int           | size=     100 |     0.0876 ms  (avg of 100000 runs)
  Quick Sort      | random_int           | size=     100 |     0.0316 ms  (avg of 100000 runs)
  Bubble Sort     | sorted_int           | size=     100 |     0.0024 ms  (avg of 100000 runs)
  Insertion Sort  | sorted_int           | size=     100 |     0.0044 ms  (avg of 100000 runs)
  Heap Sort       | sorted_int           | size=     100 |     0.0785 ms  (avg of 100000 runs)
  Selection Sort  | sorted_int           | size=     100 |     0.0933 ms  (avg of 100000 runs)
  Merge Sort      | sorted_int           | size=     100 |     0.0806 ms  (avg of 100000 runs)
  Quick Sort      | sorted_int           | size=     100 |     0.2057 ms  (avg of 100000 runs)
  Bubble Sort     | reverse_sorted_int   | size=     100 |     0.2467 ms  (avg of 100000 runs)
  Insertion Sort  | reverse_sorted_int   | size=     100 |     0.1894 ms  (avg of 100000 runs)
  Heap Sort       | reverse_sorted_int   | size=     100 |     0.0643 ms  (avg of 100000 runs)
  Selection Sort  | reverse_sorted_int   | size=     100 |     0.1003 ms  (avg of 100000 runs)
  Merge Sort      | reverse_sorted_int   | size=     100 |     0.0798 ms  (avg of 100000 runs)
  Quick Sort      | reverse_sorted_int   | size=     100 |     0.1484 ms  (avg of 100000 runs)
  Bubble Sort     | almost_sorted_int    | size=     100 |     0.1042 ms  (avg of 100000 runs)
  Insertion Sort  | almost_sorted_int    | size=     100 |     0.0147 ms  (avg of 100000 runs)
  Heap Sort       | almost_sorted_int    | size=     100 |     0.0775 ms  (avg of 100000 runs)
  Selection Sort  | almost_sorted_int    | size=     100 |     0.0930 ms  (avg of 100000 runs)
  Merge Sort      | almost_sorted_int    | size=     100 |     0.0830 ms  (avg of 100000 runs)
  Quick Sort      | almost_sorted_int    | size=     100 |     0.1055 ms  (avg of 100000 runs)
  Bubble Sort     | mixed_int            | size=     100 |     0.1806 ms  (avg of 100000 runs)
  Insertion Sort  | mixed_int            | size=     100 |     0.0851 ms  (avg of 100000 runs)
  Heap Sort       | mixed_int            | size=     100 |     0.0754 ms  (avg of 100000 runs)
  Selection Sort  | mixed_int            | size=     100 |     0.0957 ms  (avg of 100000 runs)
  Merge Sort      | mixed_int            | size=     100 |     0.0849 ms  (avg of 100000 runs)
  Quick Sort      | mixed_int            | size=     100 |     0.0302 ms  (avg of 100000 runs)
  Bubble Sort     | flat_int             | size=     100 |     0.1654 ms  (avg of 100000 runs)
